city,year,brand,model,color,body_type,engine,engine_power,fuel_type,kilometrage,transmission,drivetrain,new,price
Bakı,2012,Kia,Rio,Tünd qırmızı,Hetçbek / Liftbek,1.6 L,123 a.g.,Benzin,185 000 km,Avtomat,Ön,Xeyr,15 000 AZN
Tovuz,2013,Kia,Sorento,Gümüşü,Offroader / SUV,2.0 L,184 a.g.,Dizel,169 400 km,Avtomat,Ön,Xeyr,30 500 AZN
Bakı,2012,Kia,Optima,Ağ,Sedan,2.0 L,165 a.g.,Benzin,182 200 km,Avtomat,Ön,Xeyr,23 500 AZN
Bakı,2011,Kia,Optima,Gümüşü,Sedan,2.0 L,274 a.g.,Benzin,84 000 km,Avtomat,Ön,Xeyr,12 900 AZN
Bakı,2018,Kia,Carnival,Ağ,Minivan,2.2 L,202 a.g.,Dizel,136 000 km,Avtomat,Tam,Xeyr,49 600 AZN
Bakı,2006,Kia,Rio,Gümüşü,Hetçbek / Liftbek,1.5 L,109 a.g.,Dizel,297 000 km,Mexaniki,Ön,Xeyr,10 500 AZN
Sumqayıt,2012,Kia,Optima,Ağ,Sedan,2.4 L,180 a.g.,Benzin,174 000 km,Avtomat,Ön,Xeyr,24 300 AZN
Bakı,2012,Kia,Picanto,Tünd qırmızı,Hetçbek / Liftbek,1.3 L,85 a.g.,Benzin,115 000 km,Avtomat,Ön,Xeyr,14 500 AZN
Bakı,2015,Kia,Sorento,Ağ,Offroader / SUV,2.0 L,186 a.g.,Dizel,78 000 km,Avtomat,Ön,Xeyr,43 000 AZN
Sumqayıt,2011,Kia,Sorento,Gümüşü,Offroader / SUV,2.0 L,184 a.g.,Dizel,160 000 km,Avtomat,Ön,Xeyr,29 400 AZN
Sumqayıt,2007,Kia,Ceed,Qara,Hetçbek / Liftbek,1.6 L,116 a.g.,Dizel,185 000 km,Mexaniki,Ön,Xeyr,13 400 AZN
Sumqayıt,2013,Kia,Rio,Ağ,Hetçbek / Liftbek,1.4 L,107 a.g.,Benzin,160 000 km,Avtomat,Ön,Xeyr,17 300 AZN
Bakı,1998,Kia,Clarus,Qızılı,Sedan,2.0 L,133 a.g.,Benzin,211 000 km,Mexaniki,Tam,Xeyr,3 500 AZN
Bakı,2011,Kia,Optima,Qara,Sedan,2.0 L,274 a.g.,Benzin,190 000 km,Avtomat,Ön,Xeyr,21 800 AZN
Bakı,2019,Kia,Stinger,Göy,Hetçbek / Liftbek,2.0 L,247 a.g.,Benzin,11 500 km,Avtomat,Arxa,Xeyr,37 500 $
Bakı,2012,Kia,Sorento,Gümüşü,Offroader / SUV,2.0 L,170 a.g.,Dizel,154 000 km,Avtomat,Tam,Xeyr,32 700 AZN
Bakı,2015,Kia,Sorento,Boz,Offroader / SUV,2.0 L,184 a.g.,Dizel,178 000 km,Avtomat,Tam,Xeyr,45 500 AZN
Bakı,2013,Kia,Sorento,Qara,Offroader / SUV,2.0 L,184 a.g.,Dizel,144 000 km,Avtomat,Ön,Xeyr,33 300 AZN
Bakı,2008,Kia,Ceed,Qəhvəyi,Universal,1.6 L,122 a.g.,Benzin,200 000 km,Avtomat,Ön,Xeyr,15 900 AZN
Bakı,2008,Kia,Rio,Qızılı,Sedan,1.4 L,97 a.g.,Benzin,200 000 km,Mexaniki,Ön,Xeyr,10 700 AZN
Bakı,2015,Kia,Cerato,Qara,Sedan,1.6 L,132 a.g.,Dizel,118 000 km,Avtomat,Ön,Xeyr,21 900 AZN
Bakı,2013,Kia,Cerato,Ağ,Sedan,1.6 L,132 a.g.,Benzin,190 000 km,Avtomat,Ön,Xeyr,17 400 AZN
Bakı,2010,Kia,Sorento,Qara,Offroader / SUV,2.0 L,184 a.g.,Dizel,180 000 km,Avtomat,Ön,Xeyr,27 500 AZN
Bakı,2008,Kia,Ceed,Yaş Asfalt,Universal,1.6 L,115 a.g.,Dizel,280 000 km,Mexaniki,Ön,Xeyr,13 700 AZN
Bakı,2020,Kia,Cerato,Gümüşü,Sedan,2.0 L,150 a.g.,Benzin,10 350 km,Avtomat,Ön,Xeyr,33 600 AZN
Bakı,2007,Kia,Rio,Gümüşü,Hetçbek / Liftbek,1.6 L,112 a.g.,Dizel,144 500 km,Mexaniki,Ön,Xeyr,12 200 AZN
Bakı,2011,Kia,Ceed,Ağ,Universal,1.4 L,109 a.g.,Dizel,171 000 km,Mexaniki,Ön,Xeyr,16 400 AZN
Bakı,2015,Kia,Optima,Ağ,Sedan,2.0 L,150 a.g.,Benzin,95 000 km,Avtomat,Ön,Xeyr,26 900 AZN
Bakı,2020,Kia,K5,Qırmızı,Sedan,1.6 L,181 a.g.,Benzin,6 100 km,Avtomat,Ön,Xeyr,27 300 $
Bakı,2012,Kia,Soul,Qara,Hetçbek / Liftbek,1.6 L,129 a.g.,Benzin,189 903 km,Avtomat,Ön,Xeyr,15 400 AZN
Bakı,2009,Kia,Ceed,Qara,Universal,1.6 L,115 a.g.,Dizel,226 000 km,Mexaniki,Ön,Xeyr,15 800 AZN
Bakı,2010,Kia,Ceed,Ağ,Hetçbek / Liftbek,1.4 L,109 a.g.,Benzin,155 000 km,Mexaniki,Ön,Xeyr,13 900 AZN
Bakı,2013,Kia,Sorento,Ağ,Offroader / SUV,2.0 L,184 a.g.,Dizel,212 350 km,Avtomat,Tam,Xeyr,36 000 AZN
